ID pergunta,Pergunta,Resposta,Alucinação,Motivo
1,Como o código trata o crime de difamação quando há a eventual prova da verdade?,"O crime de difamação (art. 139, CP) consiste em atribuir a alguém fato ofensivo à sua reputação.

Prova da verdade: Se o acusado provar a veracidade do fato difamatório, a conduta será atípica (não constitui crime), exceto se:

O fato se referir à vida privada da vítima;

A divulgação for desnecessária ou motivada por malícia (art. 140, §1º, CP).",Factual,"Em difamação, a exceção da verdade somente se admite se o ofendido é funcionário público e a ofensa é relativa ao exercício de suas funções. 

O artigo 140 fala sobre injúria."
2,Qual a pena prevista para injúria quando há utilização de elementos referentes à religião ou condição de pessoa idosa ou com deficiência?,"A injúria (art. 140, CP) é ofender a dignidade de alguém.

Qualificadora: 
Se a injúria utilizar elementos referentes a:
- Religião;
- Condição de pessoa idosa (60+ anos);
- Pessoa com deficiência.

Pena: Reclusão de 1 a 3 anos + multa (art. 140, §3º, CP).",Não,
3,Quais práticas configuram o crime de falsificação de documento público?,"art. 297, CP

Configura-se quando alguém:
- Falsifica (altera, fabrica ou modifica) documento público;
- Usa documento público falso sabendo que é falso;
- Omite declaração que deveria constar em documento público.

Pena: Reclusão de 2 a 6 anos + multa",Não,
4,Como o Código Penal trata o crime de dano qualificado por violências ou meios cruéis?,"O crime de dano (art. 163, CP) torna-se qualificado se cometido:

- Com violência (contra pessoa ou coisa);
- Com meios cruéis (causando sofrimento desnecessário).

Pena: Reclusão de 1 a 4 anos + multa (art. 163, §1º, CP).",Factual,"A pena é detenção, de seis meses a três anos, e multa, além da pena correspondente à violência. 

O artigo 163 possui parágrafo único."
5,Quais ações constituem o crime de extorsão?,"O crime de extorsão está previsto no artigo 158 do Código Penal Brasileiro e consiste em obter vantagem econômica ou qualquer outro benefício ilegítimo mediante violência, grave ameaça ou depois de reduzir a vítima à impossibilidade de resistência.

Elementos que configuram a extorsão (art. 158, CP)
Conduta do agente:
- Exigir vantagem indevida (dinheiro, bens, serviços, assinatura de documento, etc.);
- Utilizar meios coercitivos:
- Violência (física ou psicológica);
- Grave ameaça (promessa de mal futuro e inevitável, como morte, sequestro, destruição de patrimônio);
- Reduzir a vítima à impossibilidade de resistir (ex.: dopagem, embriaguez forçada).
- Finalidade: Obter proveito econômico ou benefício ilegítimo para si ou para outrem.Afetam coletividade indeterminada (ex.: incêndio, explosão – art. 250, CP).       
- Bem jurídico: segurança coletiva.
- Crimes de Perigo Resultante
- Afetam indivíduos específicos, mas o perigo é elemento do crime (ex.: dirigir embriagado – art. 306, CTB).
- Bem jurídico: vida/integridade de pessoa(s) determinada(s).
",Não,
6,Como a legislação penal brasileira trata o reingresso de estrangeiro expulsos do país?,"É crime reingressar no Brasil após expulsão, sem autorização.
Pena: Reclusão de 1 a 4 anos (além de nova expulsão).",Não,
7,Quais fatores podem reduzir o prazo de prescrição do crime?,"O prazo prescricional pode ser reduzido se:

O agente for réu primário (não tem condenações anteriores);
O crime for de menor potencial ofensivo (Lei nº 9.099/95);
Houver circunstâncias atenuantes (art. 110, CP).",Factual,Art. 110 fala sobre o aumento do prazo de prescrição
8,Como o Código Penal regula o crime de sequestro e quais as penalidades relacionadas?,"Sequestro (art. 148, CP)

Definição: Privar alguém de sua liberdade por meio de:
- Violência;
- Ameaça;
- Fraude.

Pena: Reclusão de 1 a 3 anos (se não houver agravantes).

- Agravantes (aumentam a pena):
- Sequestro por mais de 24h;
- Vítima menor de 18 anos ou idosa;
- Extorsão como motivação.",Input,"A pergunta pede as penalidades relacionadas, mas só é citada a penalidade mais levo, mesmo que o artigo 140 tenha as outras penas nos parágrafos."
9,"Quais as agravantes para o homicídio qualificado, conforme o artigo do Código Penal?","Homicídio qualificado (art. 121, §2º, CP)

São agravantes (motivos ou meios que tornam o crime mais grave):
- Motivo torpe (futilidade, ganho financeiro);
- Motivo fútil (banal);
- Meios cruéis (sofrimento desnecessário);
- Emboscada (lugar oculto);
- Incêndio, explosivo ou veneno;
- Contra vítima menor de 14 ou maior de 60 anos.",Não,
10,Em que condições o condenado poderá exercer trabalho externo no regime fechado?,"O condenado em regime fechado pode trabalhar externamente se:
- Cumpre 1/6 da pena (se primário) ou 1/4 (se reincidente);
- Comportamento adequado;
- Trabalho compatível com a execução penal;
- Autorização judicial.",Não,
